studId,first_name,last_name,birthdate,date_added,gender
1,Puff,Duchan,11/7/2020,7/25/2021,Non-binary
2,Glynn,Jessard,5/18/2021,7/25/2021,Genderfluid
3,Jandy,Gonzalvo,9/6/2020,7/25/2021,Genderfluid
4,Stephine,Burdekin,9/9/2018,7/25/2021,Non-binary
5,Anjela,Cham,9/8/2018,7/25/2021,Female
6,Nealson,Fransewich,6/23/2020,7/25/2021,Non-binary
7,Maurizia,Falck,10/21/2019,7/25/2021,Non-binary
8,Matteo,Bowdrey,11/11/2019,7/25/2021,Agender
9,Eydie,Kupper,8/10/2020,7/25/2021,Male
10,Storm,Edelmann,3/16/2019,7/25/2021,Polygender
11,Jamil,Sharper,11/17/2020,7/25/2021,Female
12,Vanessa,Crinage,7/19/2020,7/25/2021,Agender
13,Celestyna,Peachment,5/9/2020,7/25/2021,Bigender
14,Jamison,Mell,7/16/2019,7/25/2021,Agender
15,Whitaker,Gyorgy,12/25/2018,7/25/2021,Non-binary
16,Marv,Pietsma,12/10/2019,7/25/2021,Agender
17,Matthew,Dimitresco,5/21/2020,7/25/2021,Female
18,Caddric,Salzburg,7/9/2021,7/25/2021,Bigender
19,Briano,Aymeric,8/26/2020,7/25/2021,Male
20,Ray,Ashbrook,3/10/2021,7/25/2021,Agender
21,Gregoor,Singers,7/30/2019,7/25/2021,Genderfluid
22,Carlynne,Twoohy,3/17/2019,7/25/2021,Polygender
23,Sonnnie,Kedward,7/9/2019,7/25/2021,Female
24,Dorelle,Poynser,9/14/2019,7/25/2021,Non-binary
25,Celinda,Richings,1/7/2020,7/25/2021,Agender
26,Pollyanna,Coupe,1/22/2021,7/25/2021,Non-binary
27,Laural,Volks,9/20/2019,7/25/2021,Polygender
28,Tiffi,Cardno,1/14/2019,7/25/2021,Genderfluid
29,Annamarie,Edlin,5/25/2019,7/25/2021,Male
30,Deana,Leynham,11/22/2020,7/25/2021,Genderfluid
31,Gregorio,Elkington,11/21/2020,7/25/2021,Non-binary
32,Selena,Nollet,11/29/2020,7/25/2021,Bigender
33,Noland,Gane,6/2/2021,7/25/2021,Non-binary
34,Kally,Massimi,5/28/2019,7/25/2021,Non-binary
35,Amabelle,Antrack,1/22/2019,7/25/2021,Genderfluid
36,Cornelle,Balcock,6/25/2019,7/25/2021,Polygender
37,Myer,Heifer,5/15/2019,7/25/2021,Polygender
38,Elayne,Crimmins,10/5/2020,7/25/2021,Polygender
